[main] Total elements: 8388608, bytes per buffer: 33554432, total required: 128 MB
==63305== NVPROF is profiling process 63305, command: ./bin/profile_harness --num_batches=256 --vocab_size=32768 --kernel=radix_v1 --warmup_runs=0 --runs=1
[run] Launching kernel 'radix_v1' (run 0)
==63305== Profiling application: ./bin/profile_harness --num_batches=256 --vocab_size=32768 --kernel=radix_v1 --warmup_runs=0 --runs=1
==63305== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
247.20ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.20ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.22ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.23ms  1.0560us                    -               -         -         -         -      128B  115.60MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.24ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.24ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.25ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.25ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.26ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.26ms  1.2480us                    -               -         -         -         -      128B  97.813MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.27ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.27ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.28ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.29ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.30ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.30ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.31ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.31ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.32ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.32ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.33ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.33ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.34ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.35ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.36ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.36ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.37ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.37ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.38ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.38ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.39ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.40ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.40ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.41ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.42ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.42ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.43ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.43ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.44ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.44ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.45ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.45ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.46ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.47ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.48ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.48ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.49ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.49ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.50ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.50ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.51ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.51ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.52ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.53ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.54ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.54ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.55ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.56ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.56ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.57ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.58ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.58ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.59ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.59ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.60ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.60ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.61ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.62ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.62ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.63ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.64ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.64ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.65ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.65ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.66ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.66ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.67ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.68ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.69ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.69ms  1.1200us                    -               -         -         -         -      128B  108.99MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.70ms     416ns                    -               -         -         -         -      128B  293.44MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
247.70ms  1.0880us                    -               -         -         -         -      128B  112.20MB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
247.71ms     384ns                    -               -         -         -         -      128B  317.89MB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
