[main] Total elements: 268435456, bytes per buffer: 1073741824, total required: 0 MB
==93012== NVPROF is profiling process 93012, command: ./bin/profile_harness --num_batches=256 --vocab_size=1048576 --kernel=radix_v1 --warmup_runs=0 --runs=1
[run] Launching kernel 'radix_v1' (run 0)
==93012== Profiling application: ./bin/profile_harness --num_batches=256 --vocab_size=1048576 --kernel=radix_v1 --warmup_runs=0 --runs=1
==93012== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
719.98ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.99ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.00ms     576ns                    -               -         -         -         -  4.0000KB  6.6227GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.00ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.01ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.02ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.03ms     576ns                    -               -         -         -         -  4.0000KB  6.6227GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.03ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.05ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.05ms  1.2150us                    -               -         -         -         -  4.0000KB  3.1397GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.06ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.07ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.08ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.08ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.09ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.09ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
720.11ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
720.11ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
